Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.845714569091797,19.89392852783203,19.71500015258789,19.754642486572266,17.364967346191406,234684800
2014-01-03,19.7450008392334,19.774999618530273,19.301071166992188,19.320714950561523,16.9835262298584,392467600
2014-01-06,19.194643020629883,19.5285701751709,19.05714225769043,19.426071166992188,17.07613182067871,412610800
2014-01-07,19.440000534057617,19.498571395874023,19.211429595947266,19.28714370727539,16.954011917114258,317209200
2014-01-08,19.243213653564453,19.484285354614258,19.238929748535156,19.409286499023438,17.061386108398438,258529600
2014-01-09,19.5285701751709,19.53071403503418,19.11964225769043,19.161428451538086,16.843507766723633,279148800
2014-01-10,19.27964210510254,19.314285278320312,18.96821403503418,19.033571243286133,16.73111915588379,304976000
2014-01-13,18.925357818603516,19.375,18.924285888671875,19.133214950561523,16.818706512451172,378492800
2014-01-14,19.222143173217773,19.526071548461914,19.2021427154541,19.51392936706543,17.15336799621582,332561600
2014-01-15,19.768571853637695,20.007143020629883,19.7021427154541,19.90571403503418,17.497760772705078,391638800
2014-01-16,19.81785774230957,19.887500762939453,19.702856063842773,19.79464340209961,17.400123596191406,229278000
2014-01-17,19.695714950561523,19.716785430908203,19.282142639160156,19.309642791748047,16.973791122436523,426739600
2014-01-21,19.32107162475586,19.645357131958008,19.30071449279785,19.609643936157227,17.237506866455078,328526800
2014-01-22,19.675357818603516,19.903213500976562,19.56464385986328,19.696786880493164,17.314104080200195,379985200
2014-01-23,19.640714645385742,19.875,19.457500457763672,19.863571166992188,17.46072006225586,403239200
2014-01-24,19.78571319580078,19.843570709228516,19.45535659790039,19.502500534057617,17.14332389831543,429354800
2014-01-27,19.645357131958008,19.814285278320312,19.491071701049805,19.66071319580078,17.282390594482422,554878800
2014-01-28,18.170000076293945,18.39285659790039,17.93107032775879,18.08928680419922,15.901063919067383,1065523200
2014-01-29,17.998214721679688,18.120357513427734,17.807857513427734,17.883928298950195,15.720547676086426,502810000
2014-01-30,17.947856903076172,18.08928680419922,17.739286422729492,17.849285125732422,15.69009017944336,678501600
2014-01-31,17.684999465942383,17.911785125732422,17.626785278320312,17.878570556640625,15.71583080291748,464797200
